序号,题型,题库分类（大类）,题目分类（小类）,题干,选项A,选项B,选项C,选项D,答案,解释
35,判断题,国职游泳救生员初级,技能知识,采用两腿同时蹬夹水的踩水配合，通常是两腿做蹬夹水动作的同时，两手做向内的摸水动作。,错误,正确,-,-,A,不是向内，是向外摸水
36,判断题,国职游泳救生员初级,技能知识,踩水时腿部的技术动作有两种，一种是两腿交替前后打水，另一种是两腿同时蹬夹水。,错误,正确,-,-,A,是交替蹬夹水，不是交替前后打水
37,判断题,国职游泳救生员初级,技能知识,踩水时，要随着腿、臂动作的节奏自然呼吸。,错误,正确,-,-,B,
38,判断题,国职游泳救生员初级,技能知识,踩水时臂部应两臂弯曲，手和前臂在两侧做向前、向后的摸水动作，手臂动作不直过大。,错误,正确,-,-,A,做向外、向内摸水，不是向前、向后
39,判断题,国职游泳救生员初级,技能知识,踩水两腿交替蹬夹水配合，通常是腿和手不停地进行。,错误,正确,-,-,B,
40,判断题,国职游泳救生员初级,技能知识,踩水配合时一般两腿各蹬夹两次，或两腿同时蹬夹两次，两手做一次摸水动作。,错误,正确,-,-,A,比例是1:1，两腿各蹬夹一次，或两腿同时蹬夹一次
41,判断题,国职游泳救生员初级,技能知识,踩水时，手臂摸水时手掌要有压水的感觉两手摸水路线呈圆形。,错误,正确,-,-,A,呈弧形
42,判断题,国职游泳救生员初级,技能知识,踩水时臂部向外摸水时掌心稍向外，向内摸水时掌心稍向内，两手摸水路线呈弧形。,错误,正确,-,-,B,
43,判断题,国职游泳救生员初级,技能知识,踩水技术在水中救助工作中，具有便于观察水面情况和做前后、左右、上下方向移动的作用。,错误,正确,-,-,A,没有上下，只有前后和左右
44,判断题,国职游泳救生员初级,技能知识,踩水时，要划三次手吸一次气。,错误,正确,-,-,A,踩水时，要随着腿、臂动作的节奏自然呼吸。并没有要求三划一吸
45,判断题,国职游泳救生员初级,技能知识,在水中救助溺水者，可用于，托枕，托颌托双腋等多种方法用反蛙泳进行拖带运送。,错误,正确,-,-,B,托双腋、托颌、托枕都可用反蛙泳拖带
46,判断题,国职游泳救生员初级,技能知识,反蛙泳技术是各级救生员必须掌握的技术。,错误,正确,-,-,B,反蛙泳技术在游泳救生工作中起着重要作用
47,判断题,国职游泳救生员初级,技能知识,反蛙泳技术简单，实用性不强。,错误,正确,-,-,A,反蛙泳技术在游泳救生工作中起着重要作用。故必须掌握的技术，实用性强
48,判断题,国职游泳救生员初级,技能知识,反蛙泳是游泳救生工作中最常用并起着重要作用的技术动作。,错误,正确,-,-,B,反蛙泳技术在游泳救生工作中起着重要作用
49,判断题,国职游泳救生员初级,技能知识,反蛙泳身体仰卧水中，自然伸直。,错误,正确,-,-,B,反蛙泳的身体姿势
50,判断题,国职游泳救生员初级,技能知识,小明在反蛙泳时，身体俯卧水中，自然伸直，脸部露出水面。,错误,正确,-,-,A,身体仰卧水中，自然伸直，脸部露出水面。是仰卧
51,判断题,国职游泳救生员初级,技能知识,反蛙泳头部要露出水面。,错误,正确,-,-,A,不需头部露出来，应脸部露出水面
52,判断题,国职游泳救生员初级,技能知识,反蛙泳腿的动作类似蛙泳腿的动作，收腿蹬腿时膝关节应露出水面。,错误,正确,-,-,A,膝关节不能露出水面
53,判断题,国职游泳救生员初级,技能知识,反蛙泳腿的动作类似蛙泳腿的动作，但是由于身体仰卧水中，所以收腿、蹬腿时膝关节不能露出水面。,错误,正确,-,-,B,反蛙泳的腿部技术
54,判断题,国职游泳救生员初级,技能知识,反蛙泳腿动作技术与蛙泳腿技术类似。,错误,正确,-,-,B,反蛙泳的腿部技术
55,判断题,国职游泳救生员初级,技能知识,反蛙泳腿动作技术与蛙泳腿技术相同。,错误,正确,-,-,A,不是相同，是类似。（反蛙泳腿与蛙泳腿区别在于收腿时收髋较少，为了避免腿膝过多露出水面而导致臀部下沉，直接影响游进的速度，故两膝需分开较宽。）
56,判断题,国职游泳救生员初级,技能知识,反蛙泳腿收腿时，双膝边收边分，小腿向侧下方收腿。收腿结束时，两膝稍宽于肩，脚和小腿内侧向后方对准蹬水方向，大腿发力，使小腿和脚内侧向后方做蹬夹水动作。,错误,正确,-,-,B,反蛙泳的腿部技术
57,判断题,国职游泳救生员初级,技能知识,反蛙泳的手臂技术为两臂自然伸直经空中在肩前入水，然后屈臂高肘，掌心向后，手和前臂对准划水方向，用力在体侧划水。,错误,正确,-,-,B,反蛙泳的臂部技术
58,判断题,国职游泳救生员初级,技能知识,反蛙泳的完整配合技术有两种。一种是手划水与腿蹬夹水（移臂与收腿）同时进行，另一种是手划水和腿蹬夹水交替进行。,错误,正确,-,-,B,反蛙泳的臂部技术
59,判断题,国职游泳救生员初级,技能知识,反蛙泳的完整配合技术只有手划水和腿蹬夹水交替进行的一种技术。,错误,正确,-,-,A,反蛙泳的完整配合技术动作有两种：1是手划水和腿蹬夹手同时进行；2是手划水和腿蹬夹手交替进行。记忆：反蛙配合有两种，手腿同时，手腿交替
60,判断题,国职游泳救生员初级,技能知识,反蛙泳的完整配合技术只有手划水与腿蹬夹水同时进行。,错误,正确,-,-,A,反蛙泳的完整配合技术动作有两种：1是手划水和腿蹬夹手同时进行；2是手划水和腿蹬夹手交替进行。记忆：反蛙配合有两种，手腿同时，手腿交替
61,判断题,国职游泳救生员初级,技能知识,反蛙泳动作时的呼吸，两臂入水后稍闭气，两臂划水时用口鼻均匀地呼气，在移臂时用力吸气。,错误,正确,-,-,B,反蛙泳的臂部技术
62,判断题,国职游泳救生员初级,技能知识,每一次反蛙泳划臂动作结束后，两臂自然放松在空中向前移臂，做下一个动作。,错误,正确,-,-,A,反蛙泳划水结束后，两臂在体侧稍停顿。少了两臂停顿滑行
63,判断题,国职游泳救生员初级,技能知识,侧泳技术动作特点是自如省力。,错误,正确,-,-,B,自如省力
64,判断题,国职游泳救生员初级,技能知识,侧泳技术在水中救助中，具有能严紧地控制住溺水者而进行拖带的作用。,错误,正确,-,-,B,侧泳一般用夹胸拖带，夹胸具有严紧地控制溺水者
65,判断题,国职游泳救生员初级,技能知识,侧泳技术主要用于对溺水者的拖带。,错误,正确,-,-,B,侧泳主要用于拖带
66,判断题,国职游泳救生员初级,技能知识,侧泳技术主要用于，寻找接近溺水者。,错误,正确,-,-,A,拖带
67,判断题,国职游泳救生员初级,技能知识,侧泳时身体俯卧水中，稍向胸侧倾斜与水平面成10°~15°夹角，头的下半部没入水中，下面的臂向前伸，上面的臂置于体侧，在游进时绕身体的纵轴转动。,错误,正确,-,-,A,是侧卧，不是俯卧
68,判断题,国职游泳救生员初级,技能知识,侧泳时身体侧卧水中，稍向胸侧倾斜与水平面成10°~15°夹角，头的下半部没入水中。,错误,正确,-,-,B,侧泳的身体姿势
69,判断题,国职游泳救生员初级,技能知识,侧泳时下面的臂向前伸，上面的臂置于体侧，在游进时绕身体的纵轴转动。,错误,正确,-,-,B,侧泳的身体姿势
70,判断题,国职游泳救生员初级,技能知识,侧泳技术有手出水和手不出两种姿势。,错误,正确,-,-,B,侧泳技术分：手出水和手不出水；手出水侧泳比较常见一点
71,判断题,国职游泳救生员初级,技能知识,侧泳在救生工作中的作用不如反蛙泳重要。,错误,正确,-,-,A,侧泳和反蛙泳在救生工作中同等重要
72,判断题,国职游泳救生员初级,技能知识,侧泳腿的技术有两种，一种是两腿交替蹬水，另一种技术是两腿同时蹬夹水。,错误,正确,-,-,A,侧泳腿只有一种：收腿、翻脚和蹬剪朋个动作；踩水才是两腿交替蹬水和两腿同时蹬水；这2种
73,判断题,国职游泳救生员初级,技能知识,侧泳做收腿动作时，大腿与躯干成80°角，小腿与大腿成45°~60°。,错误,正确,-,-,A,大腿与躯干成90°角，不是80°角
74,判断题,国职游泳救生员初级,技能知识,蹬剪腿动作：上面的腿，以膝关节为支点发力，大腿带动小腿稍往前伸。,错误,正确,-,-,A,不是膝关节，而是髋关节为支点发力
75,判断题,国职游泳救生员初级,技能知识,侧泳的臂部技术为两臂交替划水，一臂在空中移臂称为上面臂，另一臂在水下移臂称为下面臂。上面臂划水动作与爬泳臂划水动作相似，不同的是上面的臂前移时，上体绕身体的横轴略有转动。,错误,正确,-,-,A,不是横轴，是纵轴
76,判断题,国职游泳救生员初级,技能知识,侧泳做翻脚动作时，下面的腿将脚尖蹦直，脚和小腿前面向后对准蹬水方向。,错误,正确,-,-,B,
77,判断题,国职游泳救生员初级,技能知识,侧泳时下面臂的动作分为：准备姿势、入水、划水和臂前移四个阶段。,错误,正确,-,-,A,是准备姿势、滑下、划水和臂前移。入水要换成滑下
78,判断题,国职游泳救生员初级,技能知识,侧泳的下面臂部动作分为：准备姿势、滑下、划水、臂前移4个阶段。,错误,正确,-,-,B,
79,判断题,国职游泳救生员初级,技能知识,侧泳下面臂的划水动作不是在肩下进行。,错误,正确,-,-,B,
80,判断题,国职游泳救生员初级,技能知识,侧泳下面臂的划水动作是在肩下进行。,错误,正确,-,-,A,不是在肩下进行，而是在靠近胸侧斜下方进行
81,判断题,国职游泳救生员初级,技能知识,侧泳的腿部技术动作包括收腿、翻脚和蹬剪腿3个动作。,错误,正确,-,-,B,侧泳腿部技术包括收腿、p15:翻脚和剪腿3个动作
82,判断题,国职游泳救生员初级,技能知识,侧泳翻脚动作，当完成收腿后，上面的腿勾脚掌，脚掌向后对准蹬水方向。下面的腿将脚尖绷直，脚和小腿正面向后对准蹬水方向。,错误,正确,-,-,B,
83,判断题,国职游泳救生员初级,技能知识,侧泳上面手臂划水的动作与爬泳划水动作相似，不同的是上面的臂前移时，绕身体的纵轴略有转动，这样使两肩连线与垂直线之间的角度增大到45°~50°。这个动作能使上面臂的入水点较远，从而增加了划水路线。,错误,正确,-,-,B,
84,判断题,国职游泳救生员初级,技能知识,侧泳臂动作的技术，两臂交替划水，一臂在空中移臂称为上面臂，另一臂在水下移臂称为下面臂。,错误,正确,-,-,B,
85,判断题,国职游泳救生员初级,技能知识,在侧泳的臂与呼吸配合中，上面臂开始划水时，快速呼气，臂划到腹下推水时转头吸气，移臂和入水时头还原并闭气。,错误,正确,-,-,A,是逐渐呼气
86,判断题,国职游泳救生员初级,技能知识,潜泳技术可分为潜远和潜深两种技术。,错误,正确,-,-,B,潜远和潜深
87,判断题,国职游泳救生员初级,技能知识,潜远技术主要有蛙式潜泳、蛙式长划臂潜泳和爬式潜泳。,错误,正确,-,-,B,蛙式潜泳、蛙式长划臂潜泳和爬式潜泳
88,判断题,国职游泳救生员初级,技能知识,潜泳技术主要用于寻找接近溺水者。,错误,正确,-,-,A,主要水下搜寻、救助溺水者；不是接近
89,判断题,国职游泳救生员初级,技能知识,人体在水中采用两腿朝下潜深法下潜时，当身体下潜到水底或预定的深度后，应立即团身，将头转向所需要的方向游进。,错误,正确,-,-,B,两腿朝下潜深法
90,判断题,国职游泳救生员初级,技能知识,潜深技术的入水方法包括头朝下潜法和腿朝下潜法。,错误,正确,-,-,B,头朝下和腿朝下
91,判断题,国职游泳救生员初级,技能知识,蛙式潜水：臂划水的幅度要比蛙泳臂划水的幅度小。,错误,正确,-,-,B,蛙式潜水：臂划水的幅度要比蛙泳臂划水的幅度小，收腿时屈髋较小
92,判断题,国职游泳救生员初级,技能知识,蛙式潜泳和蛙式长划臂式潜泳技术动作相同。,错误,正确,-,-,A,不相同，蛙式长划臂式划臂幅度要比蛙式潜泳臂划幅度大
93,判断题,国职游泳救生员初级,技能知识,潜泳潜深只有头先朝下潜深法。,错误,正确,-,-,A,还有两腿朝下潜深法
94,判断题,国职游泳救生员初级,技能知识,蛙式长划臂潜泳，臂划水时当手划至肩下方时，肘关节大约屈成90~100度角。,错误,正确,-,-,B,蛙式长划臂潜泳-臂部动作
95,判断题,国职游泳救生员初级,技能知识,蛙式长划臂潜远，腿蹬水向正后方，以免身体上浮。,错误,正确,-,-,B,
96,判断题,国职游泳救生员初级,技能知识,蛙式长划臂潜泳腿的动作和蛙泳腿动作相同。,错误,正确,-,-,A,不相同，蛙式长划臂收腿时髋关节屈得小，双膝分开也较小
97,判断题,国职游泳救生员初级,技能知识,蛙式长划臂式潜泳技术动作与蛙式潜泳区别只是臂部动作不同。,错误,正确,-,-,A,腿部也不同；总结一下：蛙式长划臂比蛙式潜泳对比：蛙式长划臂划水时幅度大，收腿时髋关节屈得小，双膝分开也小
98,判断题,国职游泳救生员初级,技能知识,爬式潜泳两臂向前伸直，手掌并拢，配合腿做划水动作。,错误,正确,-,-,A,爬式潜泳的动作是两臂向前伸直，手掌并拢，头在两臂之间，只用双腿做爬泳打水动作向前游进；没有划水动作，故错
99,判断题,国职游泳救生员初级,技能知识,爬式潜泳：这种潜远姿势是两臂向前伸直，手掌并拢，头在两臂之间，两腿做蛙泳蹬水动作向前游进。,错误,正确,-,-,A,爬泳腿打水，即是自由泳腿
100,判断题,国职游泳救生员初级,技能知识,抬头爬泳技术是全体救生员必须掌握的一门专项游泳救生技术。,错误,正确,-,-,B,抬头爬泳有助于救生员在接近溺水者时准确捕捉目标；而且速度快。是必须掌握救生基础技术
101,判断题,国职游泳救生员初级,技能知识,抬头爬泳适合于各种溺水情况的施救。,错误,正确,-,-,A,抬头爬泳是头部始终露在水面上的，溺水者下沉时候，需要潜泳了
102,判断题,国职游泳救生员初级,技能知识,抬头爬泳头部可以不露出水面。,错误,正确,-,-,A,头部始终露在水面上
103,判断题,国职游泳救生员初级,技能知识,抬头爬泳的腿部技术为两腿自然伸直，两脚稍向内扣，以增大打水面积，踝关节用力绷紧。,错误,正确,-,-,A,踝关节放松
104,判断题,国职游泳救生员初级,技能知识,抬头爬泳时打腿是推动身体前进的主要动力，抬头爬泳的腿部技术是以大腿带动小腿做鞭状打水动作。,错误,正确,-,-,A,主要动力是双手臂划水
105,判断题,国职游泳救生员初级,技能知识,抬头爬泳由于头部要露在水面上，手臂入水点就远些，划水路线也就长些。,错误,正确,-,-,A,抬头爬泳手臂由于头部露出水面，入水点要近些
106,判断题,国职游泳救生员初级,技能知识,抬头爬泳和爬泳最大区别在于，手入水点比爬泳近，划水路线比爬泳短。,错误,正确,-,-,B,
107,判断题,国职游泳救生员初级,技能知识,抬头爬泳手臂入水后肘部可以下沉。,错误,正确,-,-,A,保持高肘，肘部不能下沉
108,判断题,国职游泳救生员初级,技能知识,抬头爬泳的打腿主要是推进作用，划臂主要是起平衡身体作用。,错误,正确,-,-,A,划臂是推进作用，打腿是起到平衡作用
109,判断题,国职游泳救生员初级,技能知识,抬头爬泳身体姿势比爬泳身体姿势稍高。,错误,正确,-,-,B,抬头爬泳身体姿势
110,判断题,国职游泳救生员初级,技能知识,抬头爬泳技术是可以快速游进，无需看清目标，抬头爬泳是救生员常用的一种专项游泳技术。,错误,正确,-,-,A,需要一直注视目标
111,判断题,国职游泳救生员初级,技能知识,抬头爬泳要求肩部始终露在水面上。,错误,正确,-,-,A,主要是双眼始终在水面，方便锁定溺水者。是要求头，没有要求肩
112,判断题,国职游泳救生员初级,技能知识,抬头爬泳腿部打腿动作和划臂具有一样重要的推进作用。,错误,正确,-,-,A,抬头爬泳打腿能使身体保持较高的位置和较好流线型；划臂是推动身体前进的主要动力。是不一样的
113,判断题,国职游泳救生员初级,技能知识,抬头爬泳臂动作一般常采用“前交叉”配合技术游进。,错误,正确,-,-,B,两臂配合技术有“前交叉”“中交叉”和”后交又”之分。一般采用”前交叉“配合技术游进
114,判断题,国职游泳救生员初级,技能知识,抬头爬泳的完整配合技术由6次打腿，2次划臂1次呼吸组成。,错误,正确,-,-,B,抬头爬泳配合主要是腿与臂的配合，腿与臂配合比例是6次打腿、2次划臂，尽管抬头爬泳不需要考虑呼吸问题，但是呼吸要有节奏。故整体配合比例是6:2:1
115,判断题,国职游泳救生员初级,技能知识,抬头爬泳的两臂配合技术有“前交叉"“中交叉“和"后交叉"之分。一般采用“前交叉”配合技术游进。,错误,正确,-,-,B,
116,判断题,国职游泳救生员初级,基础常识,跟踪法是指在值岗时，游泳救生员对自己责任区内游泳技术不佳者应进行重点跟踪观察。,错误,正确,-,-,B,
117,判断题,国职游泳救生员初级,基础常识,观察是指救生员在值岗时，不间断地扫视环视自己所负责的责任区域、及时发现溺水事故的隐患和溺水者，防止造成溺水事故发生的一种专门的救生技术。,错误,正确,-,-,B,
118,判断题,国职游泳救生员初级,基础常识,环视法是救生员在值岗时，对自己负责区以某一点为终点，进行圆周、不断的观察。,错误,正确,-,-,A,环视法：在值岗时，救生员对自己的责任区以某一点为起点，进行圆周、不间断的观察；是起点不是终点；描述错误
119,判断题,国职游泳救生员初级,基础常识,环视法是指救生员对自己的责任区以某一点为起点中，进行圆周、不间断的观察。,错误,正确,-,-,B,
120,判断题,国职游泳救生员初级,基础常识,环视法是指游泳救生员在值岗时，游泳救生员对自己责任区的左、右、远、近进行直线、不间断的观察。,错误,正确,-,-,A,是以某一点为起点中，进行圆周、不间断的观察。概念错误，这里是扫视法
121,判断题,国职游泳救生员初级,基础常识,扫视法是指游泳救生员在值岗时，游泳救生员对整个泳池的左、右、远、近进行直线、不间断的观察。,错误,正确,-,-,A,是自己责任区，不是整个泳池；描述错误
122,判断题,国职游泳救生员初级,基础常识,扫视法是在值岗时，救生员对自己责任区的左右、远近进行直线，不间断的观察。,错误,正确,-,-,B,
123,判断题,国职游泳救生员初级,基础常识,救生员值岗期间，做到重点突出深水区和兼顾浅水区交叉观察，相互补漏，不留盲区和死角，确保游泳者的安全。,错误,正确,-,-,B,主次兼顾：做到重点突出（主责区）和兼顾其他（次责区），交叉观察，相互补漏，不留盲区和死角，确保游泳者的安全：
124,判断题,国职游泳救生员初级,基础常识,救生员在观察时应做到不同观察区域互相结合。,错误,正确,-,-,B,主次兼顾：做到重点突出（主责区）和兼顾其他（次责区），交又观察，相互补漏，不留盲区和死角，确保游泳者的安全；
125,判断题,国职游泳救生员初级,基础常识,救生员在值岗时对所有游泳者都需进行严密观察，不分主次。,错误,正确,-,-,A,分主次，对不同人群的观察；描述错误
126,判断题,国职游泳救生员初级,基础常识,观察时，应对主责区和次责区交叉观察，不留盲区和死角。,错误,正确,-,-,B,救生员在进行观察时，确实需要对主责区和次责区进行交叉观察，以确保不留盲区和死角，这是为了保证救援工作的全面性和准确性。
127,判断题,国职游泳救生员初级,基础常识,救生员在观察时，一定要不间断扫视自己的责任区域，以防溺水事故发生。,错误,正确,-,-,B,注意力高度集中
128,判断题,国职游泳救生员初级,基础常识,容易发生溺水事故的情况，如不小心从池边、岸边等处滑入水中或在水中滑倒后站不起来。,错误,正确,-,-,B,对容易发生事故点，进行重点观察
129,判断题,国职游泳救生员初级,基础常识,中小学专场时，救生员应按游泳人数配备。,错误,正确,-,-,A,中小学专场时，应增加中、浅水区域的观察岗位。故要增加人数，这里描述错误。
130,判断题,国职游泳救生员初级,基础常识,儿童游泳时要有成年人监护，老年人、体弱者和残障者要量力而行、特别是孕妇更要重视自我保护。,错误,正确,-,-,B,
131,判断题,国职游泳救生员初级,基础常识,游泳救生员在交接班时，接班游泳救生员应快速上岗，使交班游泳救生员尽快离岗。,错误,正确,-,-,A,当交接双方确认没有事故隐患之后。少了确保没有事故隐患
132,判断题,国职游泳救生员初级,基础常识,救生员在交接班时，接班救生员一边听取交班救生员的情况介绍，一边上岗接班。,错误,正确,-,-,A,当交接双方确认没有事故隐患之后。少了确保没有事故隐患！
133,判断题,国职游泳救生员初级,基础常识,在观察老年游泳群体时，应注意他们是否在水中嬉戏打闹。,错误,正确,-,-,A,青少年群体，才是水中嬉戏
134,判断题,国职游泳救生员初级,基础常识,不会游泳的溺水者发生溺水时常见的表现为面部表情呆滞。,错误,正确,-,-,A,面部表情：疲劳溺水者是焦虑；不会游泳溺水者是恐慌；受伤溺水者是痛苦；昏迷溺水者是呆滞；这里是恐慌
135,判断题,国职游泳救生员初级,基础常识,不会游泳者在溺水时，呼吸方面表现为没有呼吸。,错误,正确,-,-,A,呼吸方式：疲劳溺水者是间歇呼吸；不会游泳溺水者是争取呼吸；受伤溺水是间歇呼吸昏迷溺水者是没有呼吸；这这是应该是争取呼吸描述错误。
136,判断题,国职游泳救生员初级,基础常识,不会游泳者在溺水时身体姿态方面表现为身体呈垂直姿势。,错误,正确,-,-,B,记忆各溺者姿势：疲劳者是水平、不会游是垂直、受伤是倾斜、昏迷是俯卧
137,判断题,国职游泳救生员初级,基础常识,昏迷溺水者在溺水时身体姿态方面表现为身体呈水平姿势。,错误,正确,-,-,A,俯卧（水面、水中、池底）
138,判断题,国职游泳救生员初级,基础常识,昏迷溺水者在水中身体姿态，表现为俯卧状态。,错误,正确,-,-,B,俯卧（水面、水中、池底）
139,判断题,国职游泳救生员初级,基础常识,昏迷溺水者在水中表现为缓慢移动。,错误,正确,-,-,A,昏迷溺水者的溺水时移动能力表现为没有移动能力；
140,判断题,国职游泳救生员初级,基础常识,受伤溺水者在溺水时在移动能力方面表现为原位停滞。,错误,正确,-,-,B,受伤溺水者的溺水时移动能力表现为原位停滞；
141,判断题,国职游泳救生员初级,基础常识,疲劳游泳者溺水初期身体通常表现为垂直姿势,错误,正确,-,-,A,接近水平姿势，不是垂直姿势
142,判断题,国职游泳救生员初级,基础常识,不会游泳者溺水初期身体通常表现为垂直姿势。,错误,正确,-,-,B,
143,判断题,国职游泳救生员初级,基础常识,游泳者因受伤造成溺水时，在身体姿态方面表现为身体倾斜。,错误,正确,-,-,B,
144,判断题,国职游泳救生员初级,基础常识,游泳者因受伤造成溺水时，在移动能力方面表现为原位停滞。,错误,正确,-,-,B,
145,判断题,国职游泳救生员初级,基础常识,判断是指救生员在值岗时，对观察的情况做出的快速呼救。,错误,正确,-,-,A,不是快速呼救，是作出反应，施救得当。
146,判断题,国职游泳救生员初级,基础常识,游泳救生的判断是指游泳救生员在值岗时对观察的情况作出的反应。,错误,正确,-,-,B,
147,判断题,国职游泳救生员初级,基础常识,当在水中发现溺水者时，应首先采取问的方法，判断溺水者有无意识，溺水者在水中挣扎并发出求教的喊声，则溺水者尚存意识。,错误,正确,-,-,A,当在水中发现溺水者时，应首先采取看、听的方法，判断溺水者有无意识。如溺水者在水中挣扎并发出求救的喊声，则溺水者尚存意识：是看、听方法，不是问方法，故意错误。
